N,P,K,temperature,humidity,ph,rainfall,label
18.24,14.74,10.07,20.82,92.66,6.84,115.62,orange
16.48,17.46,44.47,20.47,89.21,6.81,83.7,pomegranate
18.5,65.41,25.13,20.12,16.55,5.77,69.98,kidneybeans
101.92,18.98,51.16,26.99,86.73,6.41,46.3,watermelon
18.65,46.9,19.57,30.44,82.77,6.37,56.29,mungbean
39.29,67.68,21.91,31.28,67.29,7.36,52.81,blackgram
87.67,41.66,36.26,24.55,82.35,6.35,201.35,rice
78.86,35.62,33.09,23.93,87.73,5.58,211.26,rice
112.3,42.26,12.97,25.98,79.3,6.53,71.74,cotton
103.74,47.76,14.29,25.26,77.51,6.58,88.0,cotton
13.27,61.88,18.88,26.07,50.53,5.48,182.48,pigeonpeas
26.0,19.89,10.04,23.73,88.73,7.76,102.92,orange
45.96,62.91,23.37,28.9,59.32,7.22,80.91,blackgram
16.19,70.49,20.61,25.28,55.53,7.2,40.44,lentil
108.38,87.18,49.91,21.09,77.43,5.81,93.26,banana
15.9,27.46,35.71,33.24,51.15,5.9,97.69,mango
76.54,52.82,24.76,19.54,67.99,6.71,57.02,maize
20.98,141.6,178.42,23.36,91.98,6.06,125.98,apple
13.7,15.49,29.47,19.15,90.54,6.11,89.23,pomegranate
21.49,27.67,36.17,31.49,47.98,6.0,96.18,mango
118.41,46.34,16.82,25.65,72.55,6.74,75.15,cotton
25.57,51.2,23.49,26.07,85.76,6.51,39.96,mungbean
20.08,61.14,26.78,31.79,48.78,6.01,152.63,pigeonpeas
39.2,70.36,80.07,16.5,15.04,6.76,90.76,chickpea
20.58,118.86,198.25,22.46,91.83,5.63,103.64,apple
103.51,35.12,26.85,26.55,59.53,7.09,163.64,coffee
24.8,67.7,12.13,25.77,47.07,5.79,149.15,pigeonpeas
77.33,44.95,35.25,25.54,89.05,6.55,167.2,jute
83.4,50.58,38.85,21.98,80.98,6.42,148.18,jute
72.51,41.56,45.14,21.34,86.47,6.6,161.09,jute
55.49,53.56,43.07,33.99,87.68,7.07,164.31,papaya
21.28,70.4,16.42,28.36,64.97,6.86,52.71,lentil
21.3,126.88,208.81,20.92,82.69,6.21,60.2,grapes
81.36,46.54,31.96,23.18,82.78,6.23,175.26,rice
16.15,12.35,11.19,20.74,88.86,7.29,126.74,orange
17.61,48.85,22.34,27.8,85.83,6.72,46.15,mungbean
16.21,26.27,31.12,30.45,52.93,6.08,113.33,mango
15.07,69.76,22.5,17.61,23.33,5.78,59.61,kidneybeans
22.2,134.48,203.99,25.12,81.71,5.64,59.62,grapes
15.28,54.18,18.61,30.91,85.77,6.05,55.14,mungbean
16.93,20.4,13.28,23.04,91.1,6.74,102.91,orange
14.65,64.94,20.53,27.09,46.91,5.67,148.79,pigeonpeas
109.65,76.38,41.77,29.36,82.93,6.38,114.61,banana
77.51,43.16,51.35,23.18,82.74,5.86,183.0,rice
25.0,70.9,19.84,27.16,37.87,5.38,178.67,pigeonpeas
26.0,18.29,45.58,22.46,91.5,6.6,109.34,pomegranate
97.21,35.25,25.24,24.53,51.92,6.3,178.21,coffee
89.92,17.42,51.19,29.77,95.56,5.89,24.74,muskmelon
33.63,72.24,20.95,28.53,65.29,7.48,75.34,blackgram
51.48,66.41,53.52,35.62,92.59,6.25,130.33,papaya
45.55,58.57,49.62,34.16,97.05,6.81,115.46,papaya
18.43,9.89,41.7,21.3,89.78,6.59,116.68,pomegranate
21.83,74.28,22.82,20.58,21.34,6.12,69.1,kidneybeans
42.73,67.03,76.82,17.78,15.73,6.89,77.41,chickpea
20.55,41.57,16.53,28.2,89.31,6.52,46.11,mungbean
20.52,46.29,18.1,26.35,83.94,6.19,47.39,mungbean
20.28,24.4,28.69,35.0,48.46,6.11,100.41,mango
20.92,57.71,22.41,28.6,51.19,6.02,155.51,pigeonpeas
104.89,12.18,48.6,27.75,92.95,5.48,25.83,muskmelon
20.67,17.42,27.28,30.04,40.63,5.65,75.19,mango
18.06,40.17,44.12,28.98,52.95,3.59,64.51,mothbeans
27.55,69.78,14.66,28.97,40.26,6.02,142.93,pigeonpeas
96.34,15.3,54.05,26.69,93.83,6.67,16.66,muskmelon
84.96,40.07,47.27,22.74,90.16,6.19,182.86,rice
15.84,26.34,34.81,19.29,92.2,6.08,104.18,pomegranate
97.56,21.85,46.7,27.36,90.92,6.27,22.08,muskmelon
16.91,71.15,23.6,28.9,53.92,5.35,175.01,pigeonpeas
24.7,150.93,181.83,18.15,91.51,5.34,115.55,apple
14.92,50.34,22.69,28.77,83.02,6.67,38.54,mungbean
83.46,38.98,41.86,22.4,82.26,5.95,223.36,rice
16.3,68.28,16.42,18.18,17.02,5.9,73.58,kidneybeans
17.03,129.95,185.4,21.55,94.15,5.8,125.31,apple
77.17,45.44,40.32,21.92,79.85,6.2,185.39,rice
20.77,27.24,30.42,29.72,49.71,6.34,96.14,mango
55.14,70.01,56.68,32.45,90.61,6.65,172.77,papaya
21.85,39.1,45.86,29.34,60.64,3.77,56.09,mothbeans
112.62,52.9,21.24,25.65,84.9,7.06,89.28,cotton
16.62,11.24,41.68,21.45,92.91,6.37,99.57,pomegranate
11.8,72.8,18.65,28.85,53.99,5.29,139.36,pigeonpeas
50.06,56.02,52.64,35.09,94.32,6.99,153.37,papaya
18.16,64.22,20.08,23.57,59.3,7.3,52.43,lentil
86.25,47.25,20.5,21.65,65.08,6.17,45.6,maize
45.36,65.18,74.8,15.91,10.1,7.62,68.97,chickpea
90.8,17.42,52.49,29.03,94.13,6.07,22.34,muskmelon
120.91,42.57,13.04,22.14,77.0,7.06,91.52,cotton
17.71,67.51,26.2,16.52,15.13,5.75,65.51,kidneybeans
35.75,64.1,81.94,21.34,17.18,6.64,84.45,chickpea
18.28,39.58,19.17,30.41,81.42,6.28,49.01,mungbean
93.59,19.28,29.45,26.59,57.46,6.54,161.97,coffee
95.91,32.18,33.86,23.15,59.54,7.25,161.23,coffee
18.22,16.03,10.91,20.82,92.39,6.96,108.87,orange
91.95,17.5,39.19,25.97,86.98,6.72,46.84,watermelon
17.23,13.42,10.29,21.55,93.3,6.86,130.62,orange
24.68,137.91,213.65,21.16,86.26,5.25,61.31,grapes
93.94,21.11,30.25,23.94,53.1,6.32,157.41,coffee
24.76,68.06,24.11,30.21,45.18,5.46,151.17,pigeonpeas
16.83,23.3,28.2,31.15,55.97,5.6,91.8,mango
19.28,140.23,180.07,20.3,88.72,5.72,129.54,apple
20.62,25.41,30.47,31.3,47.11,5.73,90.51,mango
14.73,25.68,48.75,21.94,90.77,6.51,112.19,pomegranate
99.29,22.14,33.53,26.02,61.96,7.09,142.62,coffee
17.33,68.46,19.25,23.52,37.4,5.52,156.87,pigeonpeas
110.52,31.5,28.95,22.43,55.18,7.18,175.78,coffee
16.79,150.71,183.83,23.36,80.9,6.57,55.75,grapes
90.79,38.78,22.1,28.04,83.61,7.0,79.79,cotton
16.82,13.3,32.54,20.0,87.23,6.41,113.22,pomegranate
45.38,60.55,52.72,32.28,91.86,6.65,137.72,papaya
17.62,145.49,202.41,20.88,91.5,6.29,112.18,apple
33.62,66.36,16.39,25.61,74.0,7.21,73.33,blackgram
18.35,66.55,19.85,24.54,55.47,5.71,156.65,pigeonpeas
89.31,19.96,46.12,23.44,87.98,5.94,37.81,watermelon
40.95,60.64,46.12,33.5,92.62,6.64,149.46,papaya
32.52,62.41,24.29,29.66,66.4,7.23,74.96,blackgram
23.51,151.45,183.21,25.59,85.99,5.9,77.6,grapes
13.56,65.56,14.69,25.39,67.58,6.38,55.67,lentil
80.13,43.41,38.45,23.32,81.61,6.03,211.9,rice
104.34,22.47,28.51,25.53,55.82,6.79,167.09,coffee
54.63,67.01,54.89,36.54,91.31,6.51,134.32,papaya
41.31,67.97,83.25,17.73,17.17,6.97,82.65,chickpea
94.29,30.7,31.87,22.49,50.67,6.7,181.88,coffee
71.07,34.01,32.96,18.5,88.45,6.76,158.36,jute
18.88,38.6,47.58,26.33,63.92,3.67,45.35,mothbeans
12.59,18.99,41.82,20.64,86.15,7.14,112.9,pomegranate
52.16,52.79,38.65,32.05,91.51,7.47,154.15,papaya
18.85,63.08,26.94,26.29,45.22,5.76,131.97,pigeonpeas
24.33,127.3,188.86,24.63,93.29,5.82,120.68,apple
26.29,64.67,19.4,18.85,19.19,5.76,57.42,kidneybeans
19.05,14.9,6.69,20.08,90.02,6.91,133.42,orange
18.52,38.26,41.43,29.04,54.61,3.55,42.04,mothbeans
83.43,45.68,44.77,23.65,81.05,6.23,184.54,rice
19.47,44.38,14.57,25.84,79.93,6.57,43.21,mungbean
88.88,18.09,46.01,27.15,85.68,6.68,61.29,watermelon
13.89,21.2,38.71,24.54,91.47,6.33,124.1,pomegranate
16.08,16.04,32.11,23.78,92.16,5.86,159.04,coconut
26.2,9.09,34.95,25.91,93.84,5.74,202.77,coconut
79.74,39.92,38.77,23.63,72.7,7.02,162.48,jute
15.99,15.07,48.99,23.11,87.19,7.03,109.41,pomegranate
23.25,61.26,23.28,22.08,16.51,5.42,75.18,kidneybeans
16.8,35.46,43.03,30.0,59.97,3.71,53.43,mothbeans
77.11,50.12,42.93,26.14,85.55,6.36,166.48,jute
23.48,71.44,16.95,19.08,23.73,5.64,75.73,kidneybeans
80.44,33.55,33.52,22.66,87.01,5.92,169.94,rice
16.03,64.51,17.04,23.23,60.82,6.96,47.88,lentil
50.63,58.49,49.51,35.62,95.34,6.78,155.83,papaya
14.19,17.5,43.0,19.58,92.43,6.45,101.2,pomegranate
19.05,17.01,8.88,21.04,90.81,6.99,81.41,orange
47.05,66.51,79.09,19.42,16.7,7.29,82.87,chickpea
79.99,48.53,29.33,29.2,77.7,6.42,170.41,jute
15.84,15.23,33.73,21.57,91.16,6.91,109.89,pomegranate
105.26,52.42,17.1,24.04,71.82,6.5,86.1,cotton
25.16,43.01,39.49,28.7,53.43,3.61,51.53,mothbeans
18.37,44.33,21.18,25.01,89.84,6.4,53.78,mungbean
25.74,135.5,200.79,23.46,81.24,6.15,71.67,grapes
13.26,47.95,19.85,28.29,84.43,7.52,58.88,mungbean
25.49,68.23,17.08,29.65,57.41,6.91,46.44,lentil
108.03,40.71,17.36,23.95,77.37,7.21,83.47,cotton
21.51,62.49,16.52,21.25,16.24,6.19,55.99,kidneybeans
12.75,23.2,17.45,30.73,44.29,6.02,78.75,mango
94.94,17.18,50.62,28.62,93.72,5.92,15.44,muskmelon
21.89,74.42,21.42,18.37,21.0,5.32,71.05,kidneybeans
18.1,14.66,10.66,22.07,90.55,6.35,98.09,orange
22.43,60.41,23.1,26.0,44.24,5.26,142.48,pigeonpeas
77.22,48.22,19.41,23.93,76.05,6.33,46.3,maize
78.99,51.66,39.16,25.3,79.62,6.94,162.98,jute
119.69,29.65,32.96,26.18,61.12,6.86,138.47,coffee
109.57,52.86,19.07,25.13,86.06,6.19,92.79,cotton
68.91,55.74,27.18,20.77,63.06,6.59,63.34,maize
18.04,62.02,18.2,26.74,70.0,6.89,44.3,lentil
15.48,70.11,22.52,17.39,24.58,5.51,67.53,kidneybeans
17.98,16.84,46.53,21.02,85.76,6.54,114.43,pomegranate
53.63,52.51,61.84,35.71,88.63,6.49,158.24,papaya
80.06,35.09,42.31,23.2,80.2,6.02,192.29,rice
14.88,67.95,24.03,25.49,48.92,5.98,150.19,pigeonpeas
94.51,19.07,48.83,31.18,93.0,6.15,24.95,muskmelon
14.42,43.46,18.95,24.81,83.78,6.8,59.42,mungbean
17.53,64.21,15.6,19.88,24.12,5.84,81.74,kidneybeans
69.13,48.92,19.94,23.16,65.6,6.21,71.97,maize
78.58,55.23,45.14,23.16,89.67,6.69,197.43,jute
14.99,68.82,23.55,18.16,10.58,5.76,69.37,kidneybeans
43.97,58.26,85.52,14.68,19.1,7.34,69.09,chickpea
121.15,43.42,26.03,27.09,80.13,7.36,97.83,cotton
20.78,39.9,46.03,30.92,55.24,3.79,48.1,mothbeans
14.67,144.46,205.66,18.75,93.53,6.08,116.49,apple
51.27,58.95,52.2,37.35,93.45,7.08,147.42,papaya
17.22,15.36,41.35,21.57,86.47,7.14,99.53,pomegranate
113.29,43.3,16.45,24.35,89.23,6.68,76.82,cotton
25.98,25.86,22.11,31.58,42.78,6.13,99.12,mango
23.9,138.03,196.41,25.36,78.87,5.37,64.76,grapes
25.38,26.3,35.44,30.62,54.25,5.33,119.19,mango
75.55,36.37,31.2,23.47,52.38,6.55,165.75,coffee
104.06,28.46,28.33,24.81,53.67,6.7,146.23,coffee
127.12,40.58,23.15,28.21,83.06,7.14,81.7,cotton
14.53,47.96,31.48,26.74,50.56,3.69,50.18,mothbeans
21.52,14.94,30.12,25.63,96.22,6.33,172.6,coconut
18.01,15.62,28.31,29.42,93.05,5.66,209.97,coconut
14.58,16.51,31.52,30.07,96.62,6.16,136.07,coconut
17.99,125.63,196.49,21.19,95.7,5.45,116.23,apple
19.23,19.55,11.52,24.23,86.4,6.91,125.69,orange
15.92,26.09,26.24,30.23,55.08,6.03,121.07,mango
11.82,24.68,34.22,32.58,54.57,5.7,111.16,mango
21.81,15.42,7.68,21.77,91.32,7.59,95.29,orange
103.17,83.02,44.92,28.22,76.98,5.97,122.36,banana
12.61,129.83,184.5,22.82,89.77,5.93,112.76,apple
24.19,137.27,217.92,23.22,85.44,5.8,82.29,grapes
42.08,60.92,24.45,28.79,70.55,7.47,72.57,blackgram
22.14,53.82,20.01,19.66,24.7,5.4,65.86,kidneybeans
24.62,133.13,188.16,19.49,82.29,6.05,62.82,grapes
112.52,59.45,16.72,23.13,76.5,7.28,76.27,cotton
13.48,58.17,17.24,20.73,61.88,7.05,37.87,lentil
82.04,83.17,61.51,26.29,79.1,6.09,98.29,banana
17.21,53.39,35.44,30.62,51.88,3.76,50.64,mothbeans
8.21,146.84,204.89,22.66,91.88,5.85,107.83,apple
74.73,46.69,41.48,23.82,85.8,6.36,179.71,jute
13.37,70.46,21.5,22.8,69.83,6.4,33.04,lentil
98.39,26.71,28.09,26.84,57.35,7.01,178.07,coffee
17.94,16.68,13.89,21.84,92.43,6.97,124.85,orange
16.31,60.53,22.77,23.0,57.66,6.85,45.55,lentil
42.59,64.35,15.52,29.98,66.69,7.88,66.16,blackgram
99.61,83.41,27.87,25.38,78.43,6.45,92.04,banana
25.68,64.0,12.53,21.02,18.26,5.94,45.3,kidneybeans
15.34,17.0,43.52,27.0,89.32,6.28,111.83,pomegranate
76.31,41.28,37.47,24.67,81.61,6.98,166.65,jute
37.63,59.52,54.3,32.33,90.33,6.14,169.85,papaya
21.03,67.78,23.14,22.66,63.73,6.62,45.06,lentil
15.07,20.04,32.47,28.57,95.18,5.95,201.29,coconut
20.71,64.27,18.91,22.35,26.36,5.31,73.3,kidneybeans
16.92,60.52,18.18,19.36,23.38,5.53,60.87,kidneybeans
24.56,43.06,39.51,30.84,52.43,3.57,59.88,mothbeans
43.48,60.3,53.87,35.68,93.15,6.55,156.72,papaya
35.89,72.61,79.0,17.98,15.02,7.05,88.25,chickpea
96.27,21.07,49.83,23.19,86.68,6.38,40.2,watermelon
25.2,29.67,27.14,33.36,48.5,5.63,93.28,mango
14.92,23.44,29.36,28.97,51.69,5.93,95.11,mango
83.26,46.9,20.11,22.42,54.79,6.43,53.18,maize
90.74,83.94,41.82,25.94,82.0,5.71,124.26,banana
69.65,37.19,34.94,23.31,79.28,5.58,229.31,rice
15.4,30.8,40.95,29.91,55.58,3.43,49.82,mothbeans
21.35,129.85,192.54,20.03,85.53,6.25,103.0,apple
22.01,72.59,25.79,18.28,15.7,5.58,67.6,kidneybeans
19.66,66.28,18.66,24.3,60.19,6.96,57.24,lentil
36.65,73.96,77.75,18.58,16.78,6.96,88.11,chickpea
20.79,68.56,26.8,21.14,21.76,5.98,54.67,kidneybeans
104.14,52.43,19.48,23.59,81.72,6.97,87.67,cotton
26.53,63.33,27.27,29.55,50.77,5.77,146.27,pigeonpeas
47.99,69.8,77.52,19.39,15.0,7.35,83.7,chickpea
39.34,62.13,84.54,17.76,9.48,7.25,74.65,chickpea
95.3,13.71,44.48,28.87,91.55,5.8,27.39,muskmelon
19.72,131.22,203.38,23.69,82.3,6.53,63.92,grapes
20.57,69.99,20.18,23.15,66.25,6.82,49.45,lentil
16.98,151.86,190.68,24.05,93.69,5.89,106.95,apple
19.77,52.38,20.84,28.42,82.73,6.67,56.28,mungbean
23.0,64.92,15.48,27.1,54.29,5.54,155.38,pigeonpeas
51.16,70.19,81.5,14.4,14.37,6.76,73.79,chickpea
128.76,51.77,17.77,24.46,74.73,7.05,82.74,cotton
26.48,70.39,75.73,14.34,17.53,7.41,78.63,chickpea
11.48,70.84,20.86,29.02,67.63,5.07,175.87,pigeonpeas
21.79,121.12,215.34,23.88,80.42,6.27,73.22,grapes
13.71,136.98,185.62,21.44,91.26,5.88,108.37,apple
23.95,66.62,18.72,19.3,17.66,6.33,48.92,kidneybeans
41.25,65.37,19.5,33.03,67.91,6.89,63.0,blackgram
44.47,58.84,15.38,26.39,64.63,6.99,69.14,blackgram
20.42,73.32,16.61,29.09,49.0,5.78,169.09,pigeonpeas
95.76,27.7,27.88,25.23,54.26,6.32,154.38,coffee
15.27,74.36,16.06,20.76,65.9,6.65,47.57,lentil
120.61,44.24,15.02,24.7,80.8,7.53,73.75,cotton
20.52,19.34,13.31,21.75,93.28,6.89,98.92,orange
10.85,19.04,42.46,26.13,90.47,6.95,104.65,pomegranate
18.52,14.61,14.27,24.34,92.22,6.62,95.29,orange
16.63,123.86,208.91,22.64,92.8,5.69,111.65,apple
20.71,51.15,48.02,26.3,65.43,3.58,60.2,mothbeans
104.65,26.89,31.25,23.04,58.36,6.94,108.59,coffee
16.93,81.19,19.91,23.23,52.97,7.32,34.24,lentil
85.28,48.71,29.28,22.79,65.96,6.41,61.34,maize
78.63,41.33,17.59,22.64,57.04,6.63,59.8,maize
12.15,14.05,46.55,21.45,87.98,6.32,100.34,pomegranate
106.62,18.51,47.29,24.05,91.01,6.21,23.44,muskmelon
80.85,47.87,23.27,24.78,67.79,6.5,46.88,maize
20.8,49.37,17.42,24.68,87.51,5.98,45.46,mungbean
85.76,42.12,40.62,23.43,78.74,6.69,160.91,jute
81.68,42.73,17.5,25.83,64.05,6.57,68.7,maize
15.39,71.62,20.35,23.68,59.41,6.93,32.48,lentil
39.46,69.24,71.15,15.75,12.42,7.04,97.33,chickpea
16.06,43.04,18.31,25.27,83.08,6.81,37.54,mungbean
18.32,15.52,35.49,27.99,91.84,5.6,164.21,coconut
20.35,19.13,43.72,27.23,91.38,5.72,186.26,coconut
117.67,58.36,18.87,23.57,83.46,6.79,80.85,cotton
20.85,73.0,18.03,15.25,23.48,5.51,53.1,kidneybeans
38.87,68.84,83.57,16.39,20.48,6.92,79.79,chickpea
24.51,45.43,41.27,29.98,51.91,3.66,46.18,mothbeans
98.49,20.42,41.56,24.7,63.19,6.33,169.95,coffee
47.94,60.79,14.5,27.81,65.66,7.13,75.4,blackgram
102.79,47.02,18.27,27.36,83.71,6.71,83.73,cotton
70.49,55.22,19.67,24.23,66.71,6.64,65.7,maize
16.66,48.82,37.29,26.73,55.98,3.31,48.11,mothbeans
15.32,71.99,13.38,25.29,58.5,7.28,46.29,lentil
20.03,63.7,22.8,19.84,22.97,5.54,43.47,kidneybeans
93.25,71.54,50.94,27.56,85.96,5.62,118.86,banana
106.19,15.06,51.81,23.98,85.55,6.77,40.18,watermelon
25.27,138.15,201.76,25.05,78.6,5.91,70.92,grapes
18.53,61.75,18.2,24.07,65.34,6.57,54.58,lentil
47.64,66.59,14.97,25.83,58.64,6.59,81.78,blackgram
82.42,49.43,40.87,23.26,81.78,5.42,199.47,rice
12.48,21.98,37.48,20.78,84.7,7.22,91.53,pomegranate
25.75,27.66,30.05,34.27,42.84,5.61,78.84,mango
14.04,14.8,31.69,25.35,95.17,5.82,195.88,coconut
118.33,42.78,20.05,23.34,83.52,7.0,76.85,cotton
13.24,42.64,35.12,29.5,42.67,3.51,33.38,mothbeans
17.73,51.16,20.84,26.03,85.98,6.84,46.49,mungbean
19.84,63.11,14.86,20.4,52.88,6.74,42.59,lentil
24.99,117.46,198.13,21.69,80.39,6.29,72.05,grapes
20.59,62.59,17.15,30.37,55.18,5.63,150.69,pigeonpeas
92.68,82.76,46.98,29.36,85.24,6.26,108.67,banana
78.82,46.17,20.74,19.31,60.14,6.86,53.43,maize
119.62,93.9,50.07,27.77,85.44,5.96,97.12,banana
94.16,16.3,53.44,29.1,90.59,6.05,28.28,muskmelon
26.54,149.41,191.67,23.8,80.18,5.41,65.9,grapes
13.72,68.35,21.59,20.61,68.1,7.15,52.63,lentil
96.83,15.28,54.36,26.02,84.44,6.92,48.3,watermelon
97.0,86.2,38.75,29.36,84.21,6.03,102.28,banana
11.01,125.0,192.03,21.99,91.71,5.76,119.9,apple
17.48,29.4,31.54,29.38,57.1,6.09,102.3,mango
21.35,49.46,45.02,29.24,61.19,3.61,52.49,mothbeans
100.94,83.42,44.37,26.23,79.18,6.48,80.03,banana
18.64,10.43,11.46,19.79,92.2,6.84,97.07,orange
19.4,15.94,9.65,21.78,91.77,7.26,117.31,orange
19.48,132.93,189.68,23.88,92.15,5.75,106.03,apple
78.75,42.51,39.59,25.92,83.63,6.8,168.16,jute
18.46,27.73,25.86,31.87,46.19,5.96,103.78,mango
76.64,43.74,43.05,22.98,82.35,6.38,188.17,rice
16.52,138.04,196.81,25.11,86.59,5.36,62.0,grapes
39.16,64.64,69.1,19.5,12.78,7.07,100.74,chickpea
51.46,62.82,47.72,35.01,91.34,6.92,148.55,papaya
88.53,37.59,26.79,22.42,64.52,6.34,63.99,maize
103.66,15.04,44.91,26.37,91.09,6.19,35.83,muskmelon
52.21,62.6,50.39,35.78,97.09,7.21,138.16,papaya
76.65,44.95,51.18,26.62,89.92,6.55,173.47,jute
69.56,43.38,14.59,20.05,70.27,6.22,86.32,maize
14.65,126.91,188.79,20.54,91.04,5.87,125.39,apple
25.55,65.49,9.59,27.28,47.68,5.4,142.27,pigeonpeas
111.57,27.01,27.25,24.9,61.18,6.8,194.72,coffee
12.44,130.63,204.38,22.91,94.71,6.16,111.57,apple
18.92,8.27,31.78,26.92,96.69,6.01,148.38,coconut
16.29,64.01,19.12,24.87,62.03,7.06,47.45,lentil
19.14,31.57,30.6,32.42,55.16,6.12,85.3,mango
90.47,13.67,58.56,28.09,91.51,5.94,27.24,muskmelon
85.18,50.41,42.78,26.23,77.54,7.26,175.78,jute
132.14,56.74,16.65,20.0,71.61,7.3,79.53,cotton
19.13,19.42,10.88,23.17,88.66,7.11,101.18,orange
17.14,18.74,38.65,18.91,94.78,6.73,124.17,pomegranate
42.82,75.18,18.12,30.14,66.96,7.72,47.01,blackgram
76.1,37.56,37.04,22.14,82.15,5.75,205.41,rice
24.72,41.86,45.23,28.1,50.49,3.09,52.58,mothbeans
86.01,14.88,52.48,29.29,90.64,6.21,22.01,muskmelon
94.24,17.55,62.01,23.27,91.12,7.1,49.22,watermelon
14.2,70.4,16.38,23.59,58.84,7.15,38.3,lentil
20.71,69.0,20.52,27.85,42.02,6.14,177.11,pigeonpeas
25.88,132.44,196.55,24.87,78.78,5.9,70.21,grapes
23.52,39.61,51.88,28.63,56.44,3.94,41.11,mothbeans
16.59,18.48,45.78,20.78,86.98,6.78,85.48,pomegranate
67.22,46.81,44.31,21.76,81.8,7.1,208.98,jute
95.97,18.18,45.37,22.58,88.73,6.72,50.53,watermelon
94.78,25.93,28.12,26.44,55.96,6.45,149.73,coffee
64.82,48.35,44.94,25.89,77.44,6.36,183.9,jute
16.66,136.69,192.48,20.61,91.85,5.9,97.76,apple
71.16,54.5,49.02,24.53,78.52,6.88,184.91,jute
22.71,12.65,12.47,25.36,92.0,6.75,111.48,orange
20.58,19.67,26.67,29.64,46.02,6.06,93.39,mango
20.74,77.12,20.03,18.62,19.57,5.65,78.73,kidneybeans
96.91,14.92,49.66,22.19,84.77,6.95,45.11,watermelon
18.8,76.52,26.5,32.44,47.2,5.79,127.25,pigeonpeas
107.95,44.16,6.67,24.8,77.42,7.23,83.9,cotton
15.88,16.02,6.75,18.15,93.45,7.17,115.61,orange
110.66,16.2,56.61,25.35,81.93,7.05,57.93,watermelon
103.54,15.9,48.05,31.94,93.88,6.07,27.85,muskmelon
119.08,52.58,16.72,24.81,79.72,7.03,73.45,cotton
24.56,74.9,15.94,17.38,15.97,5.63,69.66,kidneybeans
34.92,67.31,81.14,19.39,16.53,6.89,71.72,chickpea
37.45,67.75,22.08,34.76,70.14,7.35,62.94,blackgram
9.5,74.8,21.28,20.51,60.96,7.37,56.58,lentil
77.53,47.15,29.19,24.16,84.02,6.57,161.73,jute
15.65,20.56,41.24,21.98,92.64,6.84,124.36,pomegranate
106.37,18.92,51.78,26.68,91.6,6.28,27.75,muskmelon
20.55,16.39,28.76,26.66,90.83,6.01,186.66,coconut
106.08,76.96,58.23,27.28,77.31,6.2,115.72,banana
96.03,22.4,60.11,31.66,91.61,5.77,13.28,muskmelon
104.97,87.69,48.16,24.53,85.1,5.97,125.76,banana
70.65,40.68,20.9,24.09,73.42,6.36,70.79,maize
22.5,68.37,22.08,29.28,66.99,6.91,50.78,lentil
22.95,131.08,205.87,21.64,80.91,6.12,69.33,grapes
107.62,25.25,28.21,23.02,56.95,6.91,157.02,coffee
37.46,66.87,70.15,16.61,14.77,6.84,81.52,chickpea
24.67,49.65,11.29,26.94,84.31,6.74,27.0,mungbean
11.38,66.85,19.41,23.89,63.28,6.91,53.18,lentil
33.55,66.28,23.39,25.62,73.67,7.34,63.4,blackgram
103.88,76.91,51.83,25.54,76.41,5.81,100.5,banana
92.36,49.61,40.94,24.64,79.01,7.05,166.17,jute
23.57,22.55,27.37,32.99,46.19,5.91,110.76,mango
18.73,41.09,43.7,31.2,57.01,3.76,38.67,mothbeans
21.52,42.22,44.35,31.34,48.29,3.98,47.42,mothbeans
102.99,19.98,56.1,29.03,85.73,6.58,37.81,watermelon
34.23,68.34,15.71,28.96,72.63,7.25,69.58,blackgram
23.6,15.07,12.36,23.69,91.43,7.39,75.1,orange
104.74,15.6,46.01,27.04,81.13,6.41,52.63,watermelon
15.15,142.78,184.94,18.36,95.74,5.38,117.21,apple
18.36,124.21,169.27,19.92,94.23,5.68,112.97,apple
93.09,29.25,31.67,21.41,52.39,6.97,168.14,coffee
33.01,73.01,19.72,31.68,65.49,6.75,75.51,blackgram
87.73,19.26,44.59,24.32,89.4,6.08,37.74,watermelon
104.35,44.51,21.47,24.83,78.46,6.96,81.07,cotton
83.12,51.79,21.12,22.21,64.69,6.27,57.19,maize
37.6,79.7,18.84,27.19,65.33,7.16,84.73,blackgram
20.69,135.36,199.22,24.19,79.35,5.85,71.87,grapes
36.04,65.46,69.53,18.43,16.0,6.75,86.59,chickpea
22.7,145.3,192.1,22.81,82.43,5.83,70.53,grapes
26.37,16.28,30.54,24.11,93.38,5.83,160.08,coconut
102.88,89.12,44.21,26.17,77.1,6.09,100.69,banana
16.4,42.18,24.32,29.89,87.46,6.92,40.97,mungbean
29.4,41.42,42.92,27.87,54.98,3.58,60.27,mothbeans
119.97,41.44,20.04,22.75,78.89,7.21,89.09,cotton
21.59,76.05,19.13,17.3,18.39,5.37,57.15,kidneybeans
121.55,46.25,19.68,20.23,78.51,6.7,73.41,cotton
100.0,13.77,51.68,24.08,88.14,6.73,46.03,watermelon
20.42,16.1,34.36,26.77,94.03,5.72,182.75,coconut
25.91,138.55,219.01,22.42,83.08,5.91,80.9,grapes
16.39,141.47,204.2,21.36,95.2,6.27,126.19,apple
46.35,56.88,47.49,35.75,91.38,6.16,145.28,papaya
83.53,41.4,36.89,22.79,80.52,5.82,216.99,rice
108.07,16.51,55.98,24.04,85.81,6.56,49.64,watermelon
98.5,29.45,29.22,26.53,50.41,7.2,162.88,coffee
